-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2001 through 12/31/2022 
Location: Latitude  -2.9909   Longitude 104.7566 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 8.33 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS                  MERRA-2 Surface Pressure (kPa) 
QV2M                MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                MERRA-2 Relative Humidity at 2 Meters (%) 
WD10M               MERRA-2 Wind Direction at 10 Meters (Degrees) 
WD50M               MERRA-2 Wind Direction at 50 Meters (Degrees) 
WS10M               MERRA-2 Wind Speed at 10 Meters (m/s) 
WS50M               MERRA-2 Wind Speed at 50 Meters (m/s) 
WS10M_MAX           MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN           MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WS50M_MAX           MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
WS50M_MIN           MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
PRECTOTCORR         MERRA-2 Precipitation Corrected (mm/day) 
WS10M_RANGE         MERRA-2 Wind Speed at 10 Meters Range (m/s) 
WS50M_RANGE         MERRA-2 Wind Speed at 50 Meters Range (m/s) 
PRECTOTCORR_SUM     MERRA-2 Precipitation Corrected Sum (mm) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
WS50M_MAX,2007,8.12,6.75,5.91,4.64,4.41,5.05,4.85,5.59,5.45,5.45,4.84,7.1,8.12
WS50M_MAX,2008,6.43,6.5,4.51,4.41,4.69,5.59,5.3,5.53,5.77,4.91,4.9,7.09,7.09
WS50M_MAX,2009,7.04,6.3,4.12,4.11,4.37,4.26,5.66,5.0,6.12,5.2,4.92,5.34,7.04
WS50M_MAX,2010,6.45,5.49,4.69,4.5,4.31,3.93,5.17,4.29,4.39,4.79,5.36,5.47,6.45
WS50M_MAX,2011,7.23,5.69,5.56,3.96,4.55,4.51,5.3,5.26,5.74,4.42,4.65,7.02,7.23
WS50M_MAX,2012,6.44,4.34,6.44,4.03,5.09,5.26,5.02,5.5,5.7,4.95,4.58,4.7,6.44
WS50M_MAX,2013,6.42,6.62,5.43,4.05,4.51,4.56,5.0,6.48,5.37,4.82,5.91,5.05,6.62
WS50M_MAX,2014,6.81,5.77,5.38,4.83,3.94,4.24,4.37,5.66,6.22,5.05,4.95,4.79,6.81
WS50M_MAX,2015,5.97,5.91,4.57,4.45,4.6,4.8,5.45,6.09,5.62,5.88,4.85,6.3,6.3
WS50M_MAX,2016,5.73,6.22,6.3,4.2,3.99,4.29,4.45,5.56,4.78,4.91,4.56,5.98,6.3
WS50M_MAX,2017,5.44,7.13,4.52,4.0,5.36,4.48,4.99,5.59,5.36,4.49,5.94,6.26,7.13
WS50M_MAX,2018,6.52,6.4,4.67,4.29,5.97,4.81,4.85,5.52,5.46,4.82,4.41,5.02,6.52
WS50M_MAX,2019,6.07,5.1,4.88,4.33,4.83,5.2,5.09,6.03,6.06,5.23,4.98,4.55,6.07
WS50M_MAX,2020,5.98,7.32,5.17,4.2,4.07,4.9,5.28,5.55,5.93,4.73,5.44,5.4,7.32
WS50M_MAX,2021,8.28,6.83,5.13,5.08,4.05,4.2,5.39,5.16,5.11,5.11,4.95,4.9,8.28
WS50M_MAX,2022,6.02,5.12,4.9,4.16,4.02,4.02,6.33,5.22,4.43,5.18,4.41,6.7,6.7
WS50M_MIN,2001,0.35,0.04,0.15,0.06,0.26,0.1,0.77,0.15,0.62,0.13,0.06,0.26,0.04
WS50M_MIN,2002,2.09,1.24,0.4,0.12,0.09,0.09,0.28,0.63,0.31,0.56,0.16,0.14,0.09
WS50M_MIN,2003,0.95,0.32,0.21,0.27,0.14,1.18,1.36,0.21,0.12,0.17,0.16,0.31,0.12
WS50M_MIN,2004,0.29,0.22,0.1,0.24,0.03,0.09,0.12,1.56,1.16,0.03,0.06,0.62,0.03
WS50M_MIN,2005,1.11,0.44,0.03,0.23,0.31,0.12,0.15,0.15,0.03,0.09,0.16,0.17,0.03
WS50M_MIN,2006,0.65,0.59,0.14,0.11,0.03,0.28,0.18,1.49,1.04,0.46,0.1,0.13,0.03
WS50M_MIN,2007,0.48,0.09,0.19,0.04,0.56,0.05,0.23,1.23,0.1,0.16,0.12,0.43,0.04
WS50M_MIN,2008,0.25,0.54,0.36,0.09,0.85,0.52,0.71,0.77,0.2,0.34,0.12,0.53,0.09
WS50M_MIN,2009,1.11,0.04,0.15,0.12,0.06,0.66,0.67,0.64,0.52,0.09,0.11,0.16,0.04
WS50M_MIN,2010,0.16,0.16,0.19,0.12,0.01,0.03,0.23,0.05,0.12,0.12,0.1,0.66,0.01
WS50M_MIN,2011,1.05,1.45,0.15,0.25,0.19,0.17,0.48,0.3,0.1,0.29,0.17,0.28,0.1
WS50M_MIN,2012,0.13,0.2,0.1,0.2,0.2,0.12,0.53,1.85,0.02,0.38,0.04,0.09,0.02
WS50M_MIN,2013,0.55,0.17,0.04,0.05,0.08,0.15,0.15,0.22,0.07,0.05,0.38,0.16,0.04
WS50M_MIN,2014,0.1,0.52,0.38,0.09,0.24,0.14,0.56,1.38,0.57,0.25,0.03,0.02,0.02
WS50M_MIN,2015,1.15,0.52,0.19,0.05,0.27,1.13,0.35,1.2,0.84,0.62,0.2,0.13,0.05
WS50M_MIN,2016,0.22,0.22,0.21,0.16,0.12,0.12,0.19,0.04,0.2,0.2,0.12,0.05,0.04
WS50M_MIN,2017,0.26,0.23,0.16,0.13,0.21,0.09,0.53,0.9,0.34,0.12,0.09,0.05,0.05
WS50M_MIN,2018,0.18,0.86,0.09,0.05,0.07,0.4,0.46,1.03,0.52,0.06,0.12,0.07,0.05
WS50M_MIN,2019,0.88,0.38,0.18,0.09,0.02,0.38,1.66,1.75,2.13,0.7,0.16,0.15,0.02
WS50M_MIN,2020,1.34,0.22,0.23,0.08,0.19,0.3,0.23,0.6,0.11,0.14,0.17,0.28,0.08
WS50M_MIN,2021,1.55,0.33,0.14,0.12,0.1,0.3,0.54,0.24,0.21,0.11,0.04,0.23,0.04
WS50M_MIN,2022,0.14,0.25,0.05,0.03,0.08,0.29,0.11,0.13,0.04,0.08,0.03,0.27,0.03
PRECTOTCORR,2001,10.55,5.27,5.27,10.55,5.27,5.27,0.0,0.0,5.27,15.82,10.55,10.55,5.27
PRECTOTCORR,2002,10.55,5.27,10.55,5.27,5.27,0.0,10.55,0.0,0.0,0.0,10.55,5.27,5.27
PRECTOTCORR,2003,5.27,10.55,5.27,5.27,5.27,0.0,0.0,5.27,5.27,10.55,10.55,10.55,5.27
PRECTOTCORR,2004,5.27,10.55,5.27,5.27,5.27,0.0,5.27,0.0,0.0,5.27,5.27,10.55,5.27
PRECTOTCORR,2005,10.55,5.27,15.82,10.55,10.55,5.27,5.27,5.27,5.27,5.27,10.55,10.55,10.55
PRECTOTCORR,2006,5.27,10.55,10.55,10.55,5.27,5.27,5.27,0.0,0.0,0.0,5.27,5.27,5.27
PRECTOTCORR,2007,15.82,5.27,5.27,15.82,5.27,5.27,5.27,0.0,0.0,5.27,5.27,10.55,5.27
PRECTOTCORR,2008,5.27,5.27,10.55,5.27,0.0,0.0,5.27,5.27,5.27,5.27,15.82,10.55,5.27
PRECTOTCORR,2009,5.27,5.27,15.82,5.27,0.0,5.27,0.0,0.0,0.0,5.27,5.27,10.55,5.27
PRECTOTCORR,2010,5.27,10.55,15.82,10.55,10.55,5.27,5.27,5.27,10.55,10.55,15.82,5.27,10.55
PRECTOTCORR,2011,10.55,10.55,10.55,15.82,5.27,5.27,0.0,0.0,0.0,10.55,10.55,10.55,5.27
PRECTOTCORR,2012,5.27,10.55,5.27,10.55,10.55,5.27,0.0,0.0,0.0,5.27,15.82,10.55,5.27
PRECTOTCORR,2013,10.55,10.55,15.82,5.27,5.27,5.27,5.27,5.27,5.27,5.27,10.55,15.82,10.55
PRECTOTCORR,2014,5.27,0.0,5.27,10.55,5.27,5.27,0.0,0.0,0.0,0.0,10.55,10.55,5.27
PRECTOTCORR,2015,5.27,5.27,10.55,10.55,5.27,5.27,0.0,0.0,0.0,0.0,5.27,5.27,5.27
PRECTOTCORR,2016,5.27,10.55,10.55,10.55,5.27,5.27,5.27,5.27,5.27,5.27,10.55,5.27,5.27
PRECTOTCORR,2017,10.55,10.55,10.55,10.55,10.55,0.0,5.27,5.27,5.27,10.55,5.27,10.55,5.27
PRECTOTCORR,2018,5.27,10.55,10.55,5.27,5.27,5.27,0.0,5.27,5.27,5.27,10.55,10.55,5.27
PRECTOTCORR,2019,10.55,10.55,10.55,10.55,5.27,5.27,5.27,0.0,0.0,0.0,5.27,15.82,5.27
PRECTOTCORR,2020,5.27,5.27,15.82,10.55,5.27,10.55,5.27,0.0,5.27,10.55,10.55,10.55,5.27
PRECTOTCORR,2021,7.83,7.53,7.83,31.62,4.49,3.41,3.29,5.31,7.01,4.09,9.4,12.13,8.62
PRECTOTCORR,2022,11.61,7.54,6.69,10.07,6.32,7.32,3.69,5.83,6.55,11.05,7.13,9.65,7.79
WS10M_RANGE,2001,4.48,5.29,3.49,3.38,3.27,3.27,2.9,3.88,3.35,2.98,3.62,4.78,5.3
WS10M_RANGE,2002,4.41,4.44,3.92,2.97,3.14,3.02,3.59,4.26,3.59,3.56,3.04,4.38,5.36
WS10M_RANGE,2003,3.73,5.68,4.87,2.86,3.12,2.7,3.46,3.7,4.19,3.59,3.28,4.4,5.8
WS10M_RANGE,2004,4.38,4.7,4.42,2.7,2.99,3.48,2.91,2.83,2.98,4.04,3.96,4.4,4.9
WS10M_RANGE,2005,4.12,4.6,4.46,3.18,3.03,2.96,3.55,3.46,3.92,3.05,3.31,3.95,4.92
WS10M_RANGE,2006,4.45,4.21,3.88,2.55,3.73,2.87,3.12,3.14,3.7,3.93,2.99,4.81,4.88
WS10M_RANGE,2007,5.57,4.87,4.26,3.32,2.57,3.52,3.24,3.21,3.91,3.84,3.52,4.79,5.86
WS10M_RANGE,2008,4.4,4.37,3.0,2.33,2.65,3.56,3.31,3.37,4.05,3.3,3.46,4.73,5.02
WS10M_RANGE,2009,4.38,4.66,2.84,2.55,2.91,2.5,3.6,3.19,4.01,3.15,3.57,3.84,5.03
WS10M_RANGE,2010,4.52,3.98,3.17,2.64,2.52,2.74,3.52,2.94,2.9,3.46,3.88,3.58,4.62
WS10M_RANGE,2011,4.45,3.24,3.84,2.31,2.75,3.1,3.38,3.59,4.18,3.01,3.22,4.81,5.05
WS10M_RANGE,2012,4.58,2.96,4.66,2.84,3.55,3.66,3.3,2.89,4.07,3.17,2.41,3.21,4.66
WS10M_RANGE,2013,4.23,4.66,3.8,2.98,3.16,3.16,3.35,4.56,3.8,3.33,4.08,3.69,4.77
WS10M_RANGE,2014,4.84,3.95,3.71,3.48,2.47,2.98,2.73,3.11,4.1,3.48,3.02,3.59,4.97
WS10M_RANGE,2015,3.59,3.98,2.95,2.52,3.07,2.55,3.7,3.32,3.43,3.59,2.82,4.59,4.62
WS10M_RANGE,2016,3.95,4.37,4.35,2.53,2.7,2.34,3.09,3.95,3.42,3.14,3.21,4.15,4.48
WS10M_RANGE,2017,3.73,4.92,3.25,2.52,2.7,3.18,3.15,3.5,3.6,3.23,4.29,4.44,4.99
WS10M_RANGE,2018,4.61,4.09,3.3,2.74,4.17,3.08,3.18,3.28,3.7,3.48,2.95,3.62,4.69
WS10M_RANGE,2019,3.79,3.12,2.74,2.6,3.29,3.48,2.61,3.25,3.12,3.28,3.28,3.28,4.37
WS10M_RANGE,2020,3.55,5.26,3.51,2.63,2.58,3.33,3.62,3.57,4.18,3.39,3.91,3.63,5.3
WS10M_RANGE,2021,5.07,4.73,3.64,3.59,2.77,2.81,3.3,3.55,3.56,3.3,3.61,3.36,5.9
WS10M_RANGE,2022,3.57,3.62,3.48,3.07,2.72,2.67,4.33,3.64,2.94,3.64,3.11,4.62,4.77
WS50M_RANGE,2001,6.3,7.33,4.79,4.57,4.64,4.51,3.95,5.39,4.64,4.11,4.95,6.62,7.33
WS50M_RANGE,2002,5.5,5.84,5.3,4.19,4.45,4.36,4.95,5.95,5.12,4.91,4.5,6.1,7.5
WS50M_RANGE,2003,4.95,7.86,6.74,3.99,4.31,3.89,4.62,5.02,5.66,4.88,4.43,6.04,8.05
WS50M_RANGE,2004,6.19,6.62,6.2,4.35,4.14,4.87,4.22,3.98,4.12,5.58,5.36,5.8,6.81
WS50M_RANGE,2005,5.42,6.47,6.27,4.39,4.12,4.13,5.13,4.79,5.55,4.91,4.56,5.27,6.88
WS50M_RANGE,2006,6.07,5.84,5.16,4.09,5.28,4.36,4.45,4.23,5.07,5.15,4.41,6.62,6.72
WS50M_RANGE,2007,7.64,6.66,5.72,4.6,3.85,5.0,4.62,4.36,5.34,5.3,4.73,6.67,8.09
WS50M_RANGE,2008,6.18,5.96,4.15,4.32,3.84,5.07,4.59,4.77,5.58,4.57,4.78,6.56,7.0
WS50M_RANGE,2009,5.93,6.27,3.98,3.99,4.3,3.6,4.99,4.36,5.61,5.11,4.81,5.18,7.0
WS50M_RANGE,2010,6.28,5.33,4.5,4.38,4.3,3.9,4.94,4.23,4.27,4.67,5.26,4.8,6.44
WS50M_RANGE,2011,6.18,4.24,5.41,3.71,4.37,4.34,4.82,4.96,5.64,4.13,4.48,6.73,7.13
WS50M_RANGE,2012,6.3,4.13,6.34,3.84,4.89,5.13,4.49,3.65,5.67,4.56,4.54,4.6,6.41
WS50M_RANGE,2013,5.87,6.45,5.39,4.0,4.43,4.41,4.85,6.27,5.3,4.77,5.52,4.88,6.58
WS50M_RANGE,2014,6.71,5.25,5.0,4.74,3.7,4.1,3.8,4.28,5.65,4.8,4.92,4.77,6.79
WS50M_RANGE,2015,4.82,5.39,4.38,4.4,4.34,3.66,5.1,4.88,4.78,5.27,4.66,6.16,6.24
WS50M_RANGE,2016,5.52,6.0,6.09,4.05,3.87,4.16,4.26,5.52,4.58,4.71,4.44,5.93,6.26
WS50M_RANGE,2017,5.18,6.91,4.36,3.87,5.15,4.39,4.46,4.7,5.02,4.37,5.85,6.21,7.09
WS50M_RANGE,2018,6.34,5.54,4.59,4.24,5.9,4.41,4.39,4.48,4.95,4.76,4.3,4.95,6.47
WS50M_RANGE,2019,5.2,4.73,4.7,4.24,4.8,4.82,3.43,4.28,3.93,4.53,4.82,4.41,6.05
WS50M_RANGE,2020,4.63,7.1,4.94,4.12,3.88,4.59,5.05,4.95,5.82,4.59,5.27,5.12,7.24
WS50M_RANGE,2021,6.73,6.5,4.99,4.95,3.95,3.9,4.85,4.91,4.9,5.0,4.91,4.67,8.24
WS50M_RANGE,2022,5.88,4.88,4.85,4.12,3.95,3.73,6.22,5.09,4.39,5.1,4.38,6.43,6.67
PRECTOTCORR_SUM,2001,326.95,163.48,152.93,332.23,89.65,84.38,26.37,79.1,121.29,416.6,242.58,316.41,2351.95
PRECTOTCORR_SUM,2002,284.77,131.84,337.5,210.94,94.92,36.91,253.12,15.82,21.09,58.01,258.4,189.84,1893.16
PRECTOTCORR_SUM,2003,147.66,247.85,126.56,179.3,100.2,42.19,63.28,84.38,110.74,326.95,305.86,300.59,2035.55
PRECTOTCORR_SUM,2004,195.12,237.3,237.3,131.84,158.2,58.01,179.3,0.0,58.01,226.76,184.57,253.12,1919.53
PRECTOTCORR_SUM,2005,258.4,210.94,411.33,268.95,268.95,174.02,152.93,100.2,126.56,242.58,274.22,400.78,2889.84
PRECTOTCORR_SUM,2006,189.84,311.13,390.23,369.14,168.75,121.29,105.47,47.46,10.55,26.37,152.93,195.12,2088.28
PRECTOTCORR_SUM,2007,437.7,184.57,147.66,469.34,179.3,142.38,121.29,10.55,42.19,158.2,195.12,295.31,2383.59
PRECTOTCORR_SUM,2008,226.76,131.84,290.04,210.94,26.37,21.09,84.38,142.38,116.02,147.66,532.62,258.4,2188.48
PRECTOTCORR_SUM,2009,163.48,147.66,479.88,216.21,79.1,158.2,63.28,42.19,15.82,131.84,210.94,295.31,2003.91
PRECTOTCORR_SUM,2010,221.48,247.85,485.16,300.59,311.13,200.39,163.48,174.02,379.69,305.86,527.34,242.58,3559.57
PRECTOTCORR_SUM,2011,284.77,258.4,274.22,406.05,189.84,168.75,52.73,47.46,15.82,290.04,263.67,284.77,2536.52
PRECTOTCORR_SUM,2012,232.03,358.59,237.3,295.31,274.22,131.84,63.28,26.37,47.46,121.29,522.07,384.96,2694.73
PRECTOTCORR_SUM,2013,263.67,295.31,411.33,232.03,131.84,131.84,142.38,110.74,189.84,216.21,316.41,516.8,2958.4
PRECTOTCORR_SUM,2014,184.57,36.91,110.74,253.12,216.21,163.48,68.55,79.1,15.82,5.27,342.77,363.87,1840.43
PRECTOTCORR_SUM,2015,232.03,152.93,342.77,384.96,105.47,110.74,52.73,10.55,0.0,5.27,179.3,210.94,1787.7
PRECTOTCORR_SUM,2016,216.21,326.95,279.49,253.12,152.93,116.02,94.92,237.3,232.03,226.76,295.31,163.48,2594.53
PRECTOTCORR_SUM,2017,268.95,305.86,258.4,247.85,316.41,58.01,126.56,100.2,110.74,258.4,232.03,316.41,2599.8
PRECTOTCORR_SUM,2018,152.93,221.48,406.05,137.11,184.57,116.02,21.09,100.2,100.2,163.48,316.41,263.67,2183.2
PRECTOTCORR_SUM,2019,268.95,279.49,348.05,321.68,89.65,126.56,100.2,10.55,42.19,58.01,110.74,416.6,2172.66
PRECTOTCORR_SUM,2020,210.94,189.84,411.33,300.59,242.58,258.4,126.56,47.46,121.29,363.87,279.49,253.12,2805.47
PRECTOTCORR_SUM,2021,242.58,210.94,242.58,948.59,139.23,102.41,102.14,164.48,210.41,126.92,281.9,375.92,3148.09
PRECTOTCORR_SUM,2022,360.05,211.03,207.31,301.97,195.96,219.48,114.53,180.7,196.61,342.46,213.92,299.12,2843.14
